Level,Zone,Circle,Division,Subdivision,Section,OfficeName
Zone,North,,,,,Office of Chief Engineer - North Zone
Circle,North,Apple,,,,Apple Circle Office
Division,North,Apple,Rose,,,Rose Division Office
Subdivision,North,Apple,Rose,N1,,Subdivision N1
Section,North,Apple,Rose,N1,SEC-1,Office of the Assistant Engineer of Banashankari Section
Section,North,Apple,Rose,N1,SEC-2,Office of the Assistant Engineer of Indiranagar Section
Division,North,Apple,Lily,,,Lily Division Office
Subdivision,North,Apple,Lily,N2,,Subdivision N2
Section,North,Apple,Lily,N2,SEC-3,Office of the Assistant Engineer of Whitefield Section
Zone,South,,,,,Office of Chief Engineer - South Zone
Circle,South,Banana,,,,Banana Circle Office
Division,South,Banana,Jasmine,,,Jasmine Division Office
Subdivision,South,Banana,Jasmine,S1,,Subdivision S1
Section,South,Banana,Jasmine,S1,SEC-4,Office of the Assistant Engineer of Electronic City Section
